x,V,Evac,Ec,Ev,phin,phip,n,p,ND,NA,anion,cation,ntb,nti,mun,mup,G_ehp,Gfree,Rdir,BulkSRHn,BulkSRHp,IntSRHn,IntSRHp,Jn,Jp,Jint,lid,Vext,left_L,left_eps_r,left_E_c,left_E_v,left_N_c,left_mu_n,left_mu_p,left_N_t_int,left_C_n_int,left_C_p_int,left_E_t_int,right_L,right_eps_r,right_E_c,right_E_v,right_N_c,right_mu_n,right_mu_p,right_N_t_int,right_C_n_int,right_C_p_int,right_E_t_int
5.24966e-07,-0.209194,0.419194,-1.78081,-4.78081,-3.83796,-4.78,7.18525e-10,9.68999e+25,0,1e+26,0,0,0,0,1e-09,1e-07,0,0,0.69625,0,0,0.268822,6.52533e+26,1.10781,-200.775,-199.667,3,0.73,5e-07,24,3.9,5.53,2.2e+24,0.0001,0.0001,1e+12,2e-14,2e-14,4.7,4e-08,3.3,2.2,5.2,1e+26,1e-09,1e-07,5e+11,2e-14,2e-14,4.7
0,0.205,0,-4,-5.9,-4.05,-4.05,6.99503e+25,1.24248e-05,0,0,0,0,0,0,1e-06,1e-09,0,0,0,0,0,0,0,-198.574,2.49346e-12,-198.574,1,0.74,0,0,0,0,0,0,0,0,0,0,0,2.5e-08,5,4,5.9,5e+26,1e-06,1e-09,4e+12,2e-14,2e-14,4.7
2.48823e-08,-0.0181739,0.223174,-3.67683,-5.30683,-4.04599,-4.99034,1.0859e+18,8.62358e+18,0,0,9.77309e+21,5.61817e+18,1.11839e+20,0,0.0001,0.0001,1.33969e+28,1.33969e+28,9.36435e+19,4.82227e+25,4.82227e+25,5.177e+23,5.36979e+27,-198.41,-0.164102,-198.574,2,0.74,2.5e-08,5,4,5.9,5e+26,1e-06,1e-09,4e+12,2e-14,2e-14,4.7,5e-07,24,3.9,5.53,2.2e+24,0.0001,0.0001,1e+12,2e-14,2e-14,4.7
5.24966e-07,-0.204223,0.409223,-1.79078,-4.79078,-3.84579,-4.79,7.8162e-10,9.70102e+25,0,1e+26,0,0,0,0,1e-09,1e-07,0,0,0.758251,0,0,0.292427,7.09799e+26,1.10794,-199.682,-198.574,3,0.74,5e-07,24,3.9,5.53,2.2e+24,0.0001,0.0001,1e+12,2e-14,2e-14,4.7,4e-08,3.3,2.2,5.2,1e+26,1e-09,1e-07,5e+11,2e-14,2e-14,4.7
0,0.2,0,-4,-5.9,-4.05,-4.05,6.99503e+25,1.24248e-05,0,0,0,0,0,0,1e-06,1e-09,0,0,0,0,0,0,0,-197.414,2.49374e-12,-197.414,1,0.75,0,0,0,0,0,0,0,0,0,0,0,2.5e-08,5,4,5.9,5e+26,1e-06,1e-09,4e+12,2e-14,2e-14,4.7
2.48823e-08,-0.0215681,0.221568,-3.67843,-5.30843,-4.04623,-4.99386,1.14601e+18,9.29934e+18,0,0,9.32585e+21,7.42486e+18,1.09715e+20,0,0.0001,0.0001,1.33969e+28,1.33969e+28,1.06571e+20,5.10136e+25,5.10136e+25,5.54132e+23,5.79051e+27,-197.259,-0.15539,-197.414,2,0.75,2.5e-08,5,4,5.9,5e+26,1e-06,1e-09,4e+12,2e-14,2e-14,4.7,5e-07,24,3.9,5.53,2.2e+24,0.0001,0.0001,1e+12,2e-14,2e-14,4.7
5.24966e-07,-0.199253,0.399253,-1.80075,-4.80075,-3.85351,-4.8,8.53754e-10,9.7123e+25,0,1e+26,0,0,0,0,1e-09,1e-07,0,0,0.829192,0,0,0.319415,7.75268e+26,1.10811,-198.522,-197.414,3,0.75,5e-07,24,3.9,5.53,2.2e+24,0.0001,0.0001,1e+12,2e-14,2e-14,4.7,4e-08,3.3,2.2,5.2,1e+26,1e-09,1e-07,5e+11,2e-14,2e-14,4.7
0,0.195,0,-4,-5.9,-4.05,-4.05,6.99503e+25,1.24248e-05,0,0,0,0,0,0,1e-06,1e-09,0,0,0,0,0,0,0,-196.184,2.45365e-12,-196.184,1,0.76,0,0,0,0,0,0,0,0,0,0,0,2.5e-08,5,4,5.9,5e+26,1e-06,1e-09,4e+12,2e-14,2e-14,4.7
2.48823e-08,-0.0249427,0.219943,-3.68006,-5.31006,-4.04645,-4.9975,1.21083e+18,1.00649e+19,0,0,8.87352e+21,9.77501e+18,1.07383e+20,0,0.0001,0.0001,1.33969e+28,1.33969e+28,1.21869e+20,5.40404e+25,5.40404e+25,5.95514e+23,6.26715e+27,-196.039,-0.145523,-196.184,2,0.76,2.5e-08,5,4,5.9,5e+26,1e-06,1e-09,4e+12,2e-14,2e-14,4.7,5e-07,24,3.9,5.53,2.2e+24,0.0001,0.0001,1e+12,2e-14,2e-14,4.7
5.24966e-07,-0.194283,0.389283,-1.81072,-4.81072,-3.86113,-4.81,9.36557e-10,9.72386e+25,0,1e+26,0,0,0,0,1e-09,1e-07,0,0,0.910695,0,0,0.350394,8.50417e+26,1.10831,-197.293,-196.184,3,0.76,5e-07,24,3.9,5.53,2.2e+24,0.0001,0.0001,1e+12,2e-14,2e-14,4.7,4e-08,3.3,2.2,5.2,1e+26,1e-09,1e-07,5e+11,2e-14,2e-14,4.7
0,0.19,0,-4,-5.9,-4.05,-4.05,6.99503e+25,1.24248e-05,0,0,0,0,0,0,1e-06,1e-09,0,0,0,0,0,0,0,-194.882,2.35942e-12,-194.882,1,0.77,0,0,0,0,0,0,0,0,0,0,0,2.5e-08,5,4,5.9,5e+26,1e-06,1e-09,4e+12,2e-14,2e-14,4.7
2.48823e-08,-0.0282965,0.218296,-3.6817,-5.3117,-4.04667,-5.00126,1.28085e+18,1.09358e+19,0,0,8.4167e+21,1.28158e+19,1.04844e+20,0,0.0001,0.0001,1.33969e+28,1.33969e+28,1.40071e+20,5.73278e+25,5.73278e+25,6.42685e+23,6.8093e+27,-194.747,-0.134303,-194.882,2,0.77,2.5e-08,5,4,5.9,5e+26,1e-06,1e-09,4e+12,2e-14,2e-14,4.7,5e-07,24,3.9,5.53,2.2e+24,0.0001,0.0001,1e+12,2e-14,2e-14,4.7
5.24966e-07,-0.189314,0.379314,-1.82069,-4.82069,-3.86863,-4.82,1.03197e-09,9.7357e+25,0,1e+26,0,0,0,0,1e-09,1e-07,0,0,1.0047,0,0,0.386092,9.3701e+26,1.10854,-195.99,-194.882,3,0.77,5e-07,24,3.9,5.53,2.2e+24,0.0001,0.0001,1e+12,2e-14,2e-14,4.7,4e-08,3.3,2.2,5.2,1e+26,1e-09,1e-07,5e+11,2e-14,2e-14,4.7
0,0.185,0,-4,-5.9,-4.05,-4.05,6.99503e+25,1.24248e-05,0,0,0,0,0,0,1e-06,1e-09,0,0,0,0,0,0,0,-193.503,2.19328e-12,-193.503,1,0.78,0,0,0,0,0,0,0,0,0,0,0,2.5e-08,5,4,5.9,5e+26,1e-06,1e-09,4e+12,2e-14,2e-14,4.7
2.48823e-08,-0.0316285,0.216629,-3.68337,-5.31337,-4.04688,-5.00514,1.35656e+18,1.19302e+19,0,0,7.95629e+21,1.67278e+19,1.02099e+20,0,0.0001,0.0001,1.33969e+28,1.33969e+28,1.61841e+20,6.09029e+25,6.09029e+25,6.9664e+23,7.42836e+27,-193.382,-0.121495,-193.503,2,0.78,2.5e-08,5,4,5.9,5e+26,1e-06,1e-09,4e+12,2e-14,2e-14,4.7,5e-07,24,3.9,5.53,2.2e+24,0.0001,0.0001,1e+12,2e-14,2e-14,4.7
