L1_L,L1_E_c,L1_E_v,L1_N_D,L1_N_A,L2_L,L2_E_c,L2_E_v,L2_N_D,L2_N_A,L3_L,L3_E_c,L3_E_v,L3_N_D,L3_N_A,MPP,IntSRHn_mean,simulation_id,extraction_timestamp
4.999999999999999e-08,4.0,6.0,7.071067811865475e+20,1e+19,3.5e-07,3.8,5.4,1e+16,1e+17,2.0000000000000004e-08,3.2,5.2,2.2360679774997897e+19,4.9999999999999993e+20,194.63928946669998,3.313662477924506e+29,sim_4816,2025-09-23T16:36:51.587150
4.999999999999999e-08,4.0,5.8,7.071067811865475e+20,2.2360679774997897e+19,2.7999999999999997e-07,3.6,5.6,1e+16,3.162277660168379e+16,3.162277660168379e-08,3.0,5.2,2.2360679774997897e+19,1e+21,185.0662326675,1.9059860639263194e+28,sim_4817,2025-09-23T16:36:51.801259
4.999999999999999e-08,3.8,5.8,4.9999999999999993e+20,2.2360679774997897e+19,3.5e-07,3.8,5.6,3.162277660168379e+16,1e+17,4.999999999999999e-08,3.0,5.2,4.999999999999999e+19,7.071067811865475e+20,443.20799898625,9.808837686836077e+27,sim_4818,2025-09-23T16:36:52.013762
3.162277660168379e-08,3.8,5.8,1e+21,2.2360679774997897e+19,2.1e-07,3.8,5.4,3.162277660168379e+16,3.162277660168379e+16,4.999999999999999e-08,3.2,5.2,4.999999999999999e+19,7.071067811865475e+20,657.14371452,1.6169602741635865e+28,sim_4819,2025-09-23T16:36:52.226057
3.162277660168379e-08,3.9,6.0,4.9999999999999993e+20,2.2360679774997897e+19,2.7999999999999997e-07,3.8,5.4,1e+17,1e+16,2.0000000000000004e-08,3.0,5.2,2.2360679774997897e+19,4.9999999999999993e+20,615.85931138,1.5796359346706428e+28,sim_4820,2025-09-23T16:36:52.438616
4.999999999999999e-08,3.9,5.9,7.071067811865475e+20,1e+19,2.1e-07,3.8,5.5,1e+17,1e+16,3.162277660168379e-08,3.2,5.2,4.999999999999999e+19,7.071067811865475e+20,405.58878848375,1.785294547149694e+28,sim_4821,2025-09-23T16:36:52.637210
4.999999999999999e-08,3.9,5.9,1e+21,2.2360679774997897e+19,2.7999999999999997e-07,3.8,5.6,1e+17,1e+17,2.0000000000000004e-08,3.2,5.2,2.2360679774997897e+19,7.071067811865475e+20,333.61022203749997,1.3173256930593503e+28,sim_4822,2025-09-23T16:36:52.849348
2.0000000000000004e-08,4.0,6.0,7.071067811865475e+20,1e+19,2.7999999999999997e-07,3.6,5.6,1e+16,1e+17,4.999999999999999e-08,2.8,5.2,2.2360679774997897e+19,4.9999999999999993e+20,148.0710311952,8.890136658367821e+30,sim_4823,2025-09-23T16:36:53.049997
4.999999999999999e-08,4.0,5.9,1e+21,2.2360679774997897e+19,2.7999999999999997e-07,3.8,5.5,1e+16,1e+17,3.162277660168379e-08,3.0,5.2,2.2360679774997897e+19,4.9999999999999993e+20,114.14272933083,5.1216629376174454e+29,sim_4824,2025-09-23T16:36:53.225132
4.999999999999999e-08,3.8,5.8,4.9999999999999993e+20,2.2360679774997897e+19,2.7999999999999997e-07,3.7,5.6,1e+16,1e+16,3.162277660168379e-08,3.0,5.2,4.999999999999999e+19,4.9999999999999993e+20,41.823458146125,3.930593455920345e+27,sim_4825,2025-09-23T16:36:53.426981
2.0000000000000004e-08,4.0,5.8,7.071067811865475e+20,1e+19,3.5e-07,3.6,5.5,1e+16,1e+17,3.162277660168379e-08,2.8,5.2,2.2360679774997897e+19,1e+21,154.9430355876,1.858876538079794e+30,sim_4826,2025-09-23T16:36:53.578262
3.162277660168379e-08,3.9,5.8,4.9999999999999993e+20,2.2360679774997897e+19,2.7999999999999997e-07,3.7,5.4,3.162277660168379e+16,1e+17,3.162277660168379e-08,3.2,5.2,4.999999999999999e+19,1e+21,219.39628168625,1.021112404707133e+28,sim_4827,2025-09-23T16:36:53.749715
4.999999999999999e-08,3.9,6.0,7.071067811865475e+20,4.999999999999999e+19,2.7999999999999997e-07,3.6,5.5,1e+17,3.162277660168379e+16,3.162277660168379e-08,3.2,5.2,4.999999999999999e+19,4.9999999999999993e+20,118.697206200875,9.594451398374896e+27,sim_4828,2025-09-23T16:36:53.948587
