x,V,Evac,Ec,Ev,phin,phip,n,p,ND,NA,anion,cation,ntb,nti,mun,mup,G_ehp,Gfree,Rdir,BulkSRHn,BulkSRHp,IntSRHn,IntSRHp,Jn,Jp,Jint,lid,Vext,left_L,left_eps_r,left_E_c,left_E_v,left_N_c,left_mu_n,left_mu_p,left_N_t_int,left_C_n_int,left_C_p_int,left_E_t_int,right_L,right_eps_r,right_E_c,right_E_v,right_N_c,right_mu_n,right_mu_p,right_N_t_int,right_C_n_int,right_C_p_int,right_E_t_int
2.48823e-08,0.111017,0.278983,-3.62102,-5.25102,-4.02623,-4.89525,2.63012e+17,1.83961e+18,0,0,2.38199e+22,6.51131e+13,1.25088e+20,0,0.0001,0.0001,1.33969e+28,1.33969e+28,4.83839e+18,1.15056e+25,1.15056e+25,2.09683e+23,1.14491e+27,-215.713,-0.251766,-215.965,2,0.37,2.5e-08,5,4,5.9,5e+26,1e-06,1e-09,4e+12,2e-14,2e-14,4.7,5e-07,24,3.9,5.53,2.2e+24,0.0001,0.0001,1e+12,2e-14,2e-14,4.7
5.24966e-07,-0.388316,0.778316,-1.42168,-4.42168,-3.52131,-4.42001,1.35123e-10,9.36105e+25,0,1e+26,0,0,0,0,1e-09,1e-07,0,0,0.126489,0,0,0.0505536,1.22889e+26,1.10875,-217.073,-215.964,3,0.37,5e-07,24,3.9,5.53,2.2e+24,0.0001,0.0001,1e+12,2e-14,2e-14,4.7,4e-08,3.3,2.2,5.2,1e+26,1e-09,1e-07,5e+11,2e-14,2e-14,4.7
0,0.38,0,-4,-5.9,-4.05,-4.05,6.99503e+25,1.24248e-05,0,0,0,0,0,0,1e-06,1e-09,0,0,0,0,0,0,0,-215.603,4.14147e-13,-215.603,1,0.39,0,0,0,0,0,0,0,0,0,0,0,2.5e-08,5,4,5.9,5e+26,1e-06,1e-09,4e+12,2e-14,2e-14,4.7
2.48823e-08,0.104079,0.275921,-3.62408,-5.25408,-4.02803,-4.89969,2.76374e+17,1.94128e+18,0,0,2.31206e+22,1.22577e+14,1.24624e+20,0,0.0001,0.0001,1.33969e+28,1.33969e+28,5.3652e+18,1.20966e+25,1.20966e+25,2.08969e+23,1.20827e+27,-215.352,-0.250451,-215.603,2,0.39,2.5e-08,5,4,5.9,5e+26,1e-06,1e-09,4e+12,2e-14,2e-14,4.7,5e-07,24,3.9,5.53,2.2e+24,0.0001,0.0001,1e+12,2e-14,2e-14,4.7
5.24966e-07,-0.378362,0.758362,-1.44164,-4.44164,-3.53974,-4.44001,1.43499e-10,9.3779e+25,0,1e+26,0,0,0,0,1e-09,1e-07,0,0,0.134572,0,0,0.0536871,1.30496e+26,1.10866,-216.712,-215.603,3,0.39,5e-07,24,3.9,5.53,2.2e+24,0.0001,0.0001,1e+12,2e-14,2e-14,4.7,4e-08,3.3,2.2,5.2,1e+26,1e-09,1e-07,5e+11,2e-14,2e-14,4.7
0,0.37,0,-4,-5.9,-4.05,-4.05,6.99503e+25,1.24248e-05,0,0,0,0,0,0,1e-06,1e-09,0,0,0,0,0,0,0,-215.213,4.68063e-13,-215.213,1,0.41,0,0,0,0,0,0,0,0,0,0,0,2.5e-08,5,4,5.9,5e+26,1e-06,1e-09,4e+12,2e-14,2e-14,4.7
2.48823e-08,0.0971286,0.272871,-3.62713,-5.25713,-4.02974,-4.90415,2.91356e+17,2.05225e+18,0,0,2.24181e+22,2.30604e+14,1.24319e+20,0,0.0001,0.0001,1.33969e+28,1.33969e+28,5.97938e+18,1.27568e+25,1.27568e+25,2.09176e+23,1.27742e+27,-214.964,-0.249015,-215.213,2,0.41,2.5e-08,5,4,5.9,5e+26,1e-06,1e-09,4e+12,2e-14,2e-14,4.7,5e-07,24,3.9,5.53,2.2e+24,0.0001,0.0001,1e+12,2e-14,2e-14,4.7
5.24966e-07,-0.368408,0.738408,-1.46159,-4.46159,-3.55812,-4.46001,1.5269e-10,9.39483e+25,0,1e+26,0,0,0,0,1e-09,1e-07,0,0,0.14345,0,0,0.0571259,1.38844e+26,1.10857,-216.322,-215.213,3,0.41,5e-07,24,3.9,5.53,2.2e+24,0.0001,0.0001,1e+12,2e-14,2e-14,4.7,4e-08,3.3,2.2,5.2,1e+26,1e-09,1e-07,5e+11,2e-14,2e-14,4.7
0,0.36,0,-4,-5.9,-4.05,-4.05,6.99503e+25,1.24248e-05,0,0,0,0,0,0,1e-06,1e-09,0,0,0,0,0,0,0,-214.792,5.28571e-13,-214.792,1,0.43,0,0,0,0,0,0,0,0,0,0,0,2.5e-08,5,4,5.9,5e+26,1e-06,1e-09,4e+12,2e-14,2e-14,4.7
2.48823e-08,0.0901648,0.269835,-3.63016,-5.26016,-4.03135,-4.90865,3.08148e+17,2.17377e+18,0,0,2.17122e+22,4.33196e+14,1.24157e+20,0,0.0001,0.0001,1.33969e+28,1.33969e+28,6.69842e+18,1.34945e+25,1.34945e+25,2.10356e+23,1.35313e+27,-214.545,-0.247442,-214.792,2,0.43,2.5e-08,5,4,5.9,5e+26,1e-06,1e-09,4e+12,2e-14,2e-14,4.7,5e-07,24,3.9,5.53,2.2e+24,0.0001,0.0001,1e+12,2e-14,2e-14,4.7
5.24966e-07,-0.358454,0.718454,-1.48155,-4.48155,-3.57644,-4.48001,1.6281e-10,9.41185e+25,0,1e+26,0,0,0,0,1e-09,1e-07,0,0,0.153234,0,0,0.060912,1.48035e+26,1.10847,-215.901,-214.792,3,0.43,5e-07,24,3.9,5.53,2.2e+24,0.0001,0.0001,1e+12,2e-14,2e-14,4.7,4e-08,3.3,2.2,5.2,1e+26,1e-09,1e-07,5e+11,2e-14,2e-14,4.7
